card-digitalprofile-name	card-digitalprofile-position	line-clamp-2
DECOR SRL	POSIZIONE	A1/170
DECORA - KARMA SRL	POSIZIONE	D5/041
DEKORA INNOVA S.A.U.	POSIZIONE	C3/164
DELFIN SRL	POSIZIONE	D7/002
DELIFRANCE ITALIA SRL	POSIZIONE	B7/001
DELIZIE DI CALABRIA SRL	POSIZIONE	B8/106
DELUME'	POSIZIONE	C4/116
DEMETRA SRL	POSIZIONE	B8/032
DERSUT CAFFÈ S.p.A.	POSIZIONE	D1/074
DESING  LTD	POSIZIONE	A3/133
DESTEFANIS & NOVERO SRL	POSIZIONE	A6/053
DEZHOU HUAXIN VENDING MACHINE CO., LTD.	POSIZIONE	A3/046
DF ITALIA	POSIZIONE	C2/066
DI FIORE FORNI SNC	POSIZIONE	D6/049
DI STEFANO DOLCIARIA SRL	POSIZIONE	A7/195
DICARCONO SL	POSIZIONE	A5/010
Diemme Industria Caffè Torrefatti Spa	POSIZIONE	D8/011
DIHR ALI GROUP SRL	POSIZIONE	D3/080
DIPRAL SRL	POSIZIONE	A1/087
DISALP SAS	POSIZIONE	B5/050
DISARONNO INGREDIENTS S.p.A	POSIZIONE	A3/087, A3/129, A3/001, A3/041, A3/081
DISTILLERIE DELL’ETNA DEI F.LLI RUSSO SRL	POSIZIONE	C4/048 A
DITO SAMA (ELECTROLUX PROFESSIONAL)	POSIZIONE	D4/014
DM COMMERCIALE SRL	POSIZIONE	C6/011
DM ITALIA SRL	POSIZIONE	B1/072
DMC SRL	POSIZIONE	D5/013
DOLCI LANGHE SRL	POSIZIONE	C4/053
DOLCI PECCATI S.R.L.	POSIZIONE	A6/033
DOLCIARIA ACQUAVIVA SPA	POSIZIONE	B2/004
DOLCIARIA CERASANI SRL	POSIZIONE	B2/041
DOLCIARIA GADESCHI SPA	POSIZIONE	C3/065
DOMOGEL SRL	POSIZIONE	A5/011a, A5/054a
DONGGUAN SHENZHENG JIECHENG PLASTIC PACKAGING PRODUCTS CO.,LTD.	POSIZIONE	B4/062
DOSYS GMBH	POSIZIONE	A5/188
DOUMIX?	POSIZIONE	C7/090
DREAMFARM SRL SOCIETA' BENEFIT	POSIZIONE	B8/014
DREIDOPPEL GMBH	POSIZIONE	C3/064, C3/066
DRG SYSTEMS SRL	POSIZIONE	D5/182
DUBOR FRANCE SAS	POSIZIONE	B5/004
DURANCOCOA S.A.	POSIZIONE	B1/300
DYLOG ITALIA SPA	POSIZIONE	A3/059
DYNAMIC S.A.S.	POSIZIONE	C3/006
DYNAMIC SRL	POSIZIONE	A2/001
E PACKAGING SRL	POSIZIONE	B8/109
EASY BEST	POSIZIONE	C7/016
EASYMAC SRL	POSIZIONE	D7/026
ECCO!	POSIZIONE	C5/131
ECODU	POSIZIONE	D5/025
EcoFood Packaging	POSIZIONE	B4/053
ECOPOON SA	POSIZIONE	C2/060
ECORECASENS SL	POSIZIONE	A5/164
ECOTEC SRL		
EDITRADE SRL	POSIZIONE	Hall SUD/010
EDIZIONI CONTATTO SRL		
EDIZIONI DM SRL		
EDNA INTERNATIONAL GMBH	POSIZIONE	Hall A6-C6/004
EDOSS PROJECT S.R.L.	POSIZIONE	A6/015
EFFEDUE	POSIZIONE	D7/065
EFSTA INTERNATIONAL GMBH	POSIZIONE	A3/028
EGRAM  SRL	POSIZIONE	C5/048
EIDOS S.r.l	POSIZIONE	D5/050
EIDOS SRL	POSIZIONE	D5/050
EKLERE	POSIZIONE	B4/059
ELENKA SPA	POSIZIONE	A7/121
ELFRAMO SPA	POSIZIONE	D3/075
ELIO ROMAGNOLI ROMCAFFE' SRL	POSIZIONE	D1/076
ELMECO SRL	POSIZIONE	A3/194
Embassy Ingredients	POSIZIONE	B2/005
EMBASSY INGREDIENTS LTD.	POSIZIONE	B2/005
EMENDATORI & VAYRA 1905 SRL	POSIZIONE	C3/126
EMIL EDIZIONI SRLS /BOMBONIERA ITALIANA		
EMMEDI SRL	POSIZIONE	C5/175
EMMI DESSERT ITALIA SPA	POSIZIONE	B7/044
ENOFRIGO Spa	POSIZIONE	A2/015A, A2/015, A2/041
ENSOTECH SRL	POSIZIONE	B3/007
ePackPro	POSIZIONE	D2/003
EPL PASTA	POSIZIONE	D7/144
